Country,Service Provider Name,Encapsulation,Multiplexing    (LLC or VC),VPI,VCI,MTU
Australia,Soul,PPPoA,VC,8,35,
,Exetel,PPPoA,VC,8,35,
,People Telcom,PPPoA,VC,8,35,
,Adam,PPPoA,VC,8,35,
,Telstra,PPPoA,VC,8,35,
,Internode,PPPoA,VC,8,35,
,Optus,PPPoE,LLC,8,35,
,Primus,PPPoE,LLC,8,35,
,TPG,PPPoE,LLC,8,35,
,iiNet,PPPoE,LLC,8,35,
,Dodo,PPPoE,LLC,8,35,
,Telstra Bigpond,PPPoE,LLC,8,35,
,TransACT,PPPoE,LLC,8,35,
,Clubtelco,PPPoA,LLC,8,35,1460
,Other,PPPoE,VC,8,35,
Austria,UPC Austria,PPPoE,LLC,9,35,
,UTA2,PPPoE,LLC,0,32,
,Other,PPPoA,LLC,8,48,
Belgium,Belgacom,PPPoE,LLC,8,35,
Brazil,Gvt-Global Village Telecom,PPPoE,LLC,0,35,
,Telemar Oi Velox,PPPoE,LLC,0,33,
,Oi,PPPoE,LLC,1,32,
Canada,Bell Canada (Western),PPPoE,LLC,0,32,
China,China Telecom,PPPoE,LLC,8,35,
,Other,PPPoE,LLC,0,35,
,Other,PPPoE,LLC,8,32,
,Other,PPPoE,LLC,0,100,
,Other,PPPoE,LLC,0,32,
,Other,PPPoE,LLC,8,81,
Czech Republic,O2,PPPoE,LLC,8,48,
,Tiscali,PPPoE,LLC,8,48,
,T-Mobile,PPPoE,LLC,8,48,
Denmark,Cybercity,PPPoA,VC,0,35,
,Tiscali,PPPoA,VC,0,35,
Finland,Teliasonera,PPPoA,LLC,0,33,
,Elisa Oyj,PPPoE,LLC,0,100,
,Other,PPPoE,LLC,0,33,
France,SFR,PPPoE,LLC,8,35,
,Orange ,PPPoE,LLC,8,35,
,OVH,PPPoA,VC,8,35,
,Free,IPoA,VC,8,36,
,Other,PPPoA,VC,0,35,
,Other,PPPoA,LLC,8,35,
,OVH,PPPoE,VC,8,35,
,Other,DHCP,VC,8,36,
,Other,DHCP,LLC,8,36,
Germany,1 & 1,PPPoE,LLC,1,32,
,Deutsche Telekom,PPPoE,LLC,1,32,
,Telefonica O2,PPPoE,LLC,1,32,
,m-net,PPPoE,LLC,1,32,
,Vodafone,PPPoE,LLC,1,32,
,Netcologne,PPPoE,LLC,8,35,
Hongkong,PCCW,PPPoE,LLC,1,32,
Hungary,Actel,PPPoE,LLC,1,32,
,GTS Datanet,PPPoE,LLC,1,32,
,Invitel,PPPoE,LLC,1,32,
,T-Home,PPPoE,LLC,1,32,
India,MTNL,PPPoE,LLC,0,32,1400
,TataIndicom (BroadBand),PPPoE,LLC,0,33,
,TataIndicom (BroadBand),PPPoE,LLC,1,33,
,BSNL,PPPoE,LLC,0,35,
,Inedit,PPPoE,LLC,0,35,1400
,AIRTEL,PPPoE,LLC,1,32,
Indonesia,Telkom Speedy,PPPoE,LLC,0,35,
,Other,PPPoA,LLC,0,35,
,Other,PPPoA,LLC,1,33,
,Other,PPPoA,LLC,8,35,
,Speedy ,PPPoE,LLC,8,81,
Italy,Alice(Telecom Italia),PPPoE,LLC,8,35,
,Infostrada,PPPoE,LLC,8,35,
,Aruba,PPPoA,VC,8,35,
,Tiscali,PPPoA,VC,8,35,
,Infostrada,PPPoA,VC,8,35,
,Twt,PPPoA,VC,8,35,
,Acantho,PPPoA,VC,8,35,
,Fastweb,DHCP,LLC,8,36,
,Wind (Infostrada),PPPoE,VC,8,35,
,Tiscali,PPPoA,VC,0,38,
,TELE2,PPPoE,LLC,8,36,
,KPN Qwest Italia,IPoA,LLC,8,35,
,Other,PPPoA,VC,8,36,
Malaysia,Streamyx,PPPoE,LLC,0,35,
Netherlands ,Online-nl,DHCP,LLC,8,35,
,Other,PPPoE,LLC,8,35,
,Other,PPPoA,VC,8,48,
,Other,PPPoA,VC,2,32,
,Vodafonevast,PPPoE,LLC,0,34,
,Telfort,PPPoE,LLC,0,34,
,Telfort,DHCP,LLC,0,34,
New Zealand,IHug,PPPoA,VC,0,100,
,Infogen,PPPoA,VC,0,100,
,Kiwi Online (KOL),PPPoA,VC,0,100,
,Orcon ADSL,PPPoA,VC,0,100,
,Paradise,PPPoA,VC,0,100,
,Slingshot,PPPoA,VC,0,100,
,Telecom NZ,PPPoA,VC,0,100,
,Telstra Clear,PPPoA,VC,0,100,
,Xnet (World Exchange),PPPoA,VC,0,100,
,Xtra,PPPoA,VC,0,100,
,Other,PPPoA,LLC,0,100,
,Other,PPPoE,LLC,0,100,
Other,N/A,PPPoA,VC,0,38,
,N/A,PPPoE,LLC,0,35,
,N/A,DHCP,LLC,0,44,
,N/A,DHCP,VC,0,44,
,N/A,PPPoE,LLC,8,32,
,N/A,DHCP,LLC,0,35,
,N/A,PPPoA,VC,8,48,
,N/A,PPPoE,LLC,0,35,
,N/A,PPPoE,LLC,0,100,
,N/A,PPPoE,LLC,0,32,
,N/A,PPPoE,LLC,8,81,
Philippine,TelPlus,PPPoE,LLC,0,100,
,PLDT,PPPoE,LLC,0,100,
Poland,Multimo,PPPoE,LLC,0,35,
,Tele2,PPPoE,LLC,0,35,
,Orange,PPPoA,VC,0,35,
,Other,PPPoA,LLC,0,35,
,Netia,PPPoE,LLC,8,35,
Portugal,PT,PPPoE,VC,0,35,
,Vodafone,PPPoE,LLC,0,35,
,Zon,PPPoE,LLC,0,35,
Russia,Beltelecom,PPPoE,LLC,0,33,
,Domolink CentrTelekom,PPPoE,LLC,0,35,
,Avangard-DSL,PPPoE,LLC,0,35,
,MTS Stream,PPPoE,LLC,1,50,
,MGTS,PPPoE,LLC,1,50,
,Jdsl Volgatelekom,PPPoE,LLC,1,100,
,Combellga,PPPoA,VC,8,63,
,Rostelecom,PPPoE,LLC,8,35,
,Other,PPPoE,LLC,1,32,
,Other,PPPoE,LLC,2,32,
,Other,PPPoE,LLC,9,148,
,Other,PPPoE,LLC,10,40,
,Other,PPPoE,LLC,9,161,
Saudi Arabia,STC,PPPoE,LLC,0,35,
Singapore,Other,PPPoA,VC,0,100,
,Other,PPPoE,VC,0,100,
,PacificNet,PPPoE,LLC,0,100,
,Singnet,PPPoE,LLC,0,100,
Spain,Orange,PPPoE,LLC,6,36,
,Orange,DHCP,LLC,8,32,
,Orange,PPPoA,VC,8,35,
,Telefonica Movistar (dynamic IP),PPPoE,LLC,8,32,
,Jazztel,PPPoE,LLC,8,35,
,Other,PPPoA,VC,6,35,
,Vodafone,PPPoA,VC,0,33,
,Pepephone,PPPoA,VC,0,33,
,Telefonica Movistar (fixed  IP),IPoA,LLC,8,32,
,Other,PPPoA,LLC,8,35,
Sweden,Telia,PPPoE,LLC,8,35,
,Ljusnet,PPPoE,LLC,8,35,
,Bahnhof AB,PPPoE,LLC,8,35,
,Bredbandsbolaget,PPPoE,LLC,8,35,
,Other,PPPoA,LLC,8,35,
Switzerland,Sunrise,PPPoE,LLC,8,35,
,Monzoon Networks,PPPoE,LLC,8,35,
,Other,PPPoA,LLC,8,35,
,Other,PPPoA,LLC,0,34,
,Other,PPPoE,VC,8,35,
Thailand,TT&T,PPPoE,LLC,0,33,
,3BB,PPPoE,LLC,0,33,
,CAT-Telecom,PPPoE,LLC,0,35,
,CS-Loxinfo,PPPoE,LLC,0,35,
,Samart,PPPoE,LLC,0,35,
,TRUE Internet,PPPoE,LLC,0,100,
,TOT,PPPoE,LLC,1,32,
Turkey,Other,PPPoA,VC,8,35,
,Other,PPPoA,LLC,8,35,
,Other,PPPoE,VC,8,35,
,Other,PPPoE,LLC,8,35,
United Kingdom,BT Broadband,PPPoA,VC,0,38,
,Sky,PPPoA,VC,0,38,
,TalkTalk,PPPoA,VC,0,38,
,PlusNet,PPPoA,VC,0,38,
,Virgin,PPPoA,VC,0,38,
,JT,PPPoA,VC,0,38,
,O2,PPPoA,VC,0,38,
,BT Broadband,PPPoE,LLC,0,38,
,Sky,PPPoE,LLC,0,38,
,TalkTalk,PPPoE,LLC,0,38,
,PlusNet,PPPoE,LLC,0,38,
,Virgin,PPPoE,LLC,0,38,
,JT,PPPoE,LLC,0,38,
,O2,PPPoE,LLC,0,38,
,BT Broadband,PPPoA,LLC,0,38,
,Sky,PPPoA,LLC,0,38,
,TalkTalk,PPPoA,LLC,0,38,
,PlusNet,PPPoA,LLC,0,38,
,Virgin,PPPoA,LLC,0,38,
,JT,PPPoA,LLC,0,38,
,O2,PPPoA,LLC,0,38,
,Other,DHCP,VC,0,40,
,Organe,PPPoE,LLC,8,35,
,Other,PPPoE,VC,8,36,
,Other,PPPoE,LLC,0,101,
,Be,DHCP,LLC,0,101,
,Other,IPoA,LLC,0,101,
United States,AT&T,PPPoE,LLC,0,35,
,Earthlink,PPPoE,LLC,0,35,
,Verizon,PPPoE,LLC,0,35,
,Windstream,PPPoE,LLC,0,35,
,Frontier Communications,PPPoA,LLC,0,35,
,Rivercity Internet Group,PPPoA,LLC,0,35,
,CenturyLink,PPPoE,LLC,8,35,
,Bigriver.net DSL,PPPoE,LLC,8,35,
,Qwest,PPPoE,LLC,0,32,
,Other,PPPoA,VC,0,32,
,Other,PPPoA,LLC,0,32,
,Other,PPPoE,LLC,0,38,
,Other,PPPoE,VC,0,38,
,Other,PPPoE,VC,0,32,
,Other,DHCP,LLC,0,33,
,Other,DHCP,LLC,0,35,
,Other,PPPoA,LLC,0,100,
,Other,DHCP,LLC,8,35,
,Other,PPPoE,LLC,1,34,
,Other,PPPoA,LLC,8,35,
Vietnam,FPT,PPPoE,LLC,0,33,
,NATNAM,PPPoE,LLC,0,33,
,SPT,PPPoE,LLC,0,33,
,VNN(in Hanoi),PPPoE,LLC,0,35,
,Viettel,PPPoE,LLC,8,35,
,VNN(in HAM),PPPoE,LLC,8,38,
