Country,Service Provider Name,Encapsulation,Multiplexing    (LLC or VC),VPI,VCI,
APAC,,,,,,
Australia,iiNet,PPPoE RFC2516 Embedded,LLC,8,35,
,Internode,PPPoE RFC2516 Embedded,LLC,8,35,
,Optus,PPPoE RFC2516 Embedded,LLC,8,35,
,Primus,PPPoE RFC2516 Embedded,LLC,8,35,
,Soul,PPPoA - RFC2364,VCMUX,8,35,
,Telstra,PPPoE RFC2516 Embedded,LLC,8,35,
,TPG,PPPoE RFC2516 Embedded,LLC,8,35,
,Default-Other,PPPoE RFC2516 Embedded,LLC,8,35,
,Exetel,PPPoA,LLC/VC,8,35,DGN1000v3 Beta tester
,AAPT,N/A,VC,8,35,DGND3700v2 Beta tester
,Adam,PPPoE,VC/LLC,8,35,DGND3700v2 Beta tester
,Apex,N/A,VC,8,35,DGND3700v2 Beta tester
,Grapevine,N/A,LLC,8,35,DGND3700v2 Beta tester
,People Telcom,PPPoA,VC,8,35,
,Clubtelco,PPPoA,LLC,8,35,D6200 Beta tester
India,AIRTEL,PPPoE RFC 2516,LLC,1,32,
,BSNL,PPPoE RFC 2516,LLC,0,35,
,MTNL,PPPoE RFC 2516,LLC,0,32,
,Reliance (BroadBand),1483 Bridged,LLC,0,35,
,TataIndicom (BroadBand),PPPoE RFC 2516,LLC,0,33,
,TataIndicom (BroadBand),PPPoE RFC 2516,LLC,1,33,
,TataIndicom (BroadBand),N/A,LLC,0,32,India Support
,TataIndicom (BroadBand),N/A,LLC,0,35,India Support
,Inedit,PPPoE,LLC,0,35,T&W
New Zealand,Clearnet,PPPoA,LLC,0,100,
,IHug,PPPoA,VC,0,100,
,Infogen,PPPoA,VC,0,100,
,Kiwi Online (KOL),PPPoA,VC,0,100,
,Orcon ADSL,PPPoA,VC,0,100,
,Paradise,PPPoA,VC,0,100,
,Slingshot,PPPoA,VC,0,100,
,Telecom NZ,PPPoA,VC,0,100,
,Telstra Clear,PPPoA,VC,0,100,
,Xnet (World Exchange),PPPoA,VC,0,100,
,Xtra,PPPoA,VC,0,100,
,Default-Other,PPPoA - RFC2364,VCMUX,0,100,
Singapore,PacificNet,PPPoE,LLC,0,100,
,Singnet,PPPoE,LLC,0,100,
Philippine,PLDT,RFC 1483 Bridged,LLC,0,100,
,TelPlus,Enet,LLC,0,100,T&W
Hongkong,PCCW,PPPoE,LLC,1,32,
Malaysia,Streamyx,PPPoE,LLC,0,35,
Indonesia,"telkom DSLAM ""Alcatel""", RFC 2364  PPPoA,LLC,8,35,
