Country,Encapsulation,Multiplexing    (LLC or VC),VPI,VCI,
APAC,,,,,
Australia,PPPoE,LLC,8,35,
,PPPoE,VC,8,35,
,PPPoA,LLC,8,35,
,PPPoA,VC,8,35,
India,PPPoE,LLC,0,32,
,PPPoE,LLC,0,33,
,PPPoE,LLC,0,35,
,Bridged,LLC,0,35,
,PPPoE,LLC,1,32,
,PPPoE,LLC,1,33,
New Zealand,PPPoA,LLC,0,100,
,PPPoA,VC,0,100,
Singapore,PPPoE,LLC,0,100,
Philippine,Bridged,LLC,0,100,
,PPPoE,LLC,0,100,
Hongkong,PPPoE,LLC,1,32,
Malaysia,PPPoE,LLC,0,35,
Indonesia,PPPoE,LLC,0,35,
,PPPoA,LLC,0,35,
,PPPoA,LLC,1,33,
,PPPoA,LLC,8,35,
,PPPoE,LLC,8,81,
Vietnam,PPPoE,LLC,0,33,
,PPPoE,LLC,0,35,
,PPPoE,LLC,8,35,
,PPPoE,LLC,8,38,
Thailand,PPPoE,LLC,0,33,
,PPPoE,LLC,0,35,
,PPPoE,LLC,0,100,
,PPPoE,LLC,1,32,
EMEA,,,,,
Austria,PPPoE,LLC,0,32,
,PPPoA,LLC,8,48,
Belgium,PPPoE,LLC,8,35,
Czech Republic,PPPoE,LLC,8,48,
Denmark,Bridged,LLC,0,35,
,PPPoA,VC,0,35,
France,PPPoA,VC,8,35,
,PPPoA,LLC,8,35,
,PPPoE,LLC,8,35,
,PPPoE,VC,8,35,
,IPoA,VC,8,36,
Germany,PPPoE,LLC,1,32,
,PPPoE,LLC,8,35,
Hungary,PPPoE,LLC,1,32,
Italy,PPPoA,VC,8,35,
,IPoA,LLC,8,35,
,PPPoE,VC,8,35,
,PPPoE,LLC,8,35,
,DHCP,LLC,8,36,
Luxembourg,PPPoE,LLC,8,35,
Netherlands,Bridged,LLC,0,32,
,Bridged,LLC,0,34,
,PPPoE,LLC,0,34,
,Bridged,LLC,0,35,
,PPPoA,VC,2,32,
,Bridged,LLC,8,35,
,PPPoA,VC,8,48,
Poland,PPPoE,VC,0,35,
,PPPoE,LLC,0,35,
,PPPoA,VC,0,35,
,PPPoA,LLC,0,35,
,Bridged,LLC,1,32,
,PPPoE,LLC,8,35,
Russia,PPPoE,LLC,0,33,
,PPPoE,LLC,0,35,
,PPPoE,LLC,1,50,
,PPPoE,LLC,1,100,
,PPPoA,VC,8,63,
Saudi Arabia,PPPoE,LLC,0,35,
Spain,PPPoA,VC,0,33,
,PPPoE,LLC,8,32,
,IPoA,LLC,8,32,
,PPPoE,LLC,8,35,
,PPPoA,LLC,8,35,
,PPPoA,VC,8,35,
Sweden,PPPoE,LLC,8,35,
,Bridged,LLC,8,35,
Switzerland,PPPoA,LLC,8,35,
,PPPoE,LLC,8,35,
Turkey,PPPoA,VC,8,35,
,PPPoA,LLC,8,35,
,PPPoE,VC,8,35,
,PPPoE,LLC,8,35,
Ukraine,PPPoE,LLC,1,32,
United Arab Emirates,PPPoE,LLC,0,50,
,PPPoA,LLC,0,50,
,PPPoE,VC,0,50,
United Kingdom,PPPoA,VC,0,38,
,PPPoA,LLC,0,38,
,DHCP,LLC,0,101,
,IPoA,LLC,0,101,
,PPPoE,VC,8,36,
North America,,,,,
Canada,PPPoE,LLC,0,32,
,DHCP,LLC,0,33,
,PPPoE,LLC,0,35,
United States,PPPoA,VC,0,32,
,PPPoA,LLC,0,32,
,PPPoE,LLC,0,32,
,Bridged,LLC,0,32,
,Bridged,LLC,0,33,
,Bridged,LLC,0,34,
,PPPoA,LLC,0,35,
,PPPoE,LLC,0,35,
,Bridged,LLC,0,35,
,Bridged,LLC,0,96,
,PPPoA,LLC,0,100,
,PPPoE,LLC,1,34,
,PPPoA,LLC,8,35,
,PPPoE,LLC,8,35,
,Bridged,LLC,8,35,
LATAM,,,,,
Argentina,PPPoE,LLC,0,35,
Bolivia,PPPoE,LLC,0,35,
Brazil,PPPoE,LLC,0,35,
,PPPoE,LLC,1,32,
,PPPoE,LLC,8,35,
,PPPoE,LLC,0,33,
Chile,PPPoE,LLC,0,35,
Colombia,PPPoE,LLC,0,35,
Costa Rica,PPPoE,LLC,0,35,
Ecuador,PPPoE,LLC,0,35,
El Salvador,PPPoE,LLC,0,35,
Guatemala,PPPoE,LLC,0,35,
Honduras,PPPoE,LLC,0,35,
Mexico,PPPoE,LLC,0,35,
Nicaragua,PPPoE,LLC,0,35,
Panama,PPPoE,LLC,0,35,
Paraguay,PPPoE,LLC,0,35,
Peru,PPPoE,LLC,0,35,
Republica Dominicana,PPPoE,LLC,0,35,
Uraguay,PPPoE,LLC,0,35,
Venezuela,PPPoE,LLC,0,35,
